Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Barbie,"$1,441,804,117","$636,204,117",44.1%,"$805,600,000",55.9%
2,The Super Mario Bros. Movie,"$1,361,943,444","$574,934,330",42.2%,"$787,009,114",57.8%
3,Oppenheimer,"$950,781,060","$325,483,060",34.2%,"$625,298,000",65.8%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%
5,Fast X,"$704,709,660","$145,960,660",20.7%,"$558,749,000",79.3%
6,Spider-Man: Across the Spider-Verse,"$690,516,673","$381,311,319",55.2%,"$309,205,354",44.8%
7,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%
8,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%
9,Elemental,"$495,947,021","$154,426,697",31.1%,"$341,520,324",68.9%
10,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
11,John Wick: Chapter 4,"$440,146,694","$187,131,806",42.5%,"$253,014,888",57.5%
12,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.8%,"$281,900,000",64.2%
13,Meg 2: The Trench,"$395,000,317","$82,600,317",20.9%,"$312,400,000",79.1%
14,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%
15,Five Nights at Freddy's,"$287,796,133","$137,088,570",47.6%,"$150,707,563",52.4%
16,Creed III,"$275,248,615","$156,248,615",56.8%,"$119,000,000",43.2%
17,The Flash,"$270,633,313","$108,133,313",40%,"$162,500,000",60%
18,The Nun II,"$268,067,073","$86,267,073",32.2%,"$181,800,000",67.8%
19,Taylor Swift: The Eras Tour,"$249,591,137","$178,901,001",71.7%,"$70,690,136",28.3%
20,The Hunger Games: The Ballad of Songbirds & Snakes,"$248,955,926","$126,255,926",50.7%,"$122,700,000",49.3%
21,Sound of Freedom,"$247,801,971","$184,174,633",74.3%,"$63,627,338",25.7%
22,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%
23,The Marvels,"$198,402,062","$81,945,438",41.3%,"$116,456,624",58.7%
24,PAW Patrol: The Mighty Movie,"$195,331,360","$65,231,360",33.4%,"$130,100,000",66.6%
25,The Equalizer 3,"$190,811,793","$92,373,751",48.4%,"$98,438,042",51.6%
26,Insidious: The Red Door,"$189,086,877","$82,156,962",43.4%,"$106,929,915",56.6%
27,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,513,586","$118,613,586",65.7%,"$61,900,000",34.3%
28,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%
29,Trolls Band Together,"$165,357,327","$78,231,775",47.3%,"$87,125,552",52.7%
30,Killers of the Flower Moon,"$154,579,684","$66,779,684",43.2%,"$87,800,000",56.8%
31,Evil Dead Rise,"$146,733,054","$67,233,054",45.8%,"$79,500,000",54.2%
32,Napoleon,"$141,362,860","$50,069,572",35.4%,"$91,293,288",64.6%
33,The Exorcist: Believer,"$135,821,395","$65,537,395",48.3%,"$70,284,000",51.7%
34,Shazam! Fury of the Gods,"$133,838,006","$57,638,006",43.1%,"$76,200,000",56.9%
35,Blue Beetle,"$129,288,072","$72,488,072",56.1%,"$56,800,000",43.9%
36,Pathaan,"$128,780,000","$17,487,476",13.6%,"$95,095,974",73.8%
37,A Haunting in Venice,"$122,098,354","$42,471,412",34.8%,"$79,626,942",65.2%
38,Gran Turismo,"$121,693,741","$44,428,554",36.5%,"$77,265,187",63.5%
39,Haunted Mansion,"$117,449,790","$67,653,287",57.6%,"$49,796,503",42.4%
